object_id,ra,dec,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
16d23m44pt22264049s-24d38m43pt58535203s,16.39561740013605,-24.64544037556473,0.0,0.0,0.0,0.0,0.0
16d22m38pt21034632s-24d38m27pt78536621s,16.37728065175652,-24.641051490613766,0.0,0.0,0.0,0.0,0.0
16d23m19pt35750823s-24d38m39pt98629732s,16.388710418951817,-24.644440638143095,0.0,0.0,0.0,0.0,0.0
16d23m11pt21592155s-24d39m07pt58635986s,16.386448867097652,-24.65210732218444,0.0,0.0,0.0,0.0,0.0
16d23m34pt54069919s-24d38m44pt18585516s,16.39292797199671,-24.645607181989106,0.0,0.0,0.0,0.0,0.0
16d23m25pt29930915s-24d39m00pt18617469s,16.39036091920871,-24.65005171519112,0.0,0.0,0.0,0.0,0.0
16d22m51pt19268571s-24d38m24pt38599595s,16.380886857140663,-24.640107221096084,0.0,0.0,0.0,0.0,0.0
16d23m41pt80164201s-24d38m36pt18549406s,16.39494490055822,-24.64338485946044,0.0,0.0,0.0,0.0,0.0
16d23m22pt87887854s-24d39m05pt98623242s,16.389688577373406,-24.651662842339338,0.0,0.0,0.0,0.0,0.0
16d23m13pt19641962s-24d39m05pt18635586s,16.38699900544912,-24.65144065440608,0.0,0.0,0.0,0.0,0.0
16d23m11pt43597948s-24d39m09pt38635975s,16.386509994298763,-24.65260732215406,0.0,0.0,0.0,0.0,0.0
16d23m07pt47497254s-24d39m05pt98634781s,16.385409714594214,-24.65166287439066,0.0,0.0,0.0,0.0,0.0
16d23m11pt21592114s-24d39m05pt98635988s,16.38644886698423,-24.65166287774384,0.0,0.0,0.0,0.0,0.0
16d22m47pt01172308s-24d38m29pt78582689s,16.379725478634004,-24.641607174134943,0.0,0.0,0.0,0.0,0.0
22d58m24pt2009025s-13d37m11pt13269827s,22.97338913958469,-13.619759082851651,0.0,0.0,0.0,0.0,0.0
22d58m00pt12367413s-13d36m18pt73309771s,22.966701020591856,-13.605203638253256,0.0,0.0,0.0,0.0,0.0
22d58m06pt50286053s-13d36m36pt13305433s,22.968473016813828,-13.61003695953594,0.0,0.0,0.0,0.0,0.0
0d47m35pt7414972s-6d05m45pt46070142s,0.7932615269987924,-6.0959613059510875,0.0,0.0,0.0,0.0,0.0
0d47m48pt01092374s-6d05m28pt46077468s,0.796669701037554,-6.091239104079102,0.0,0.0,0.0,0.0,0.0
0d48m10pt33722465s-6d05m57pt46071002s,0.8028714512914789,-6.099294641672274,0.0,0.0,0.0,0.0,0.0
10d32m29pt62604642s-28d32m14pt41093398s,10.541562790672964,-28.537336370549756,0.0,0.0,0.0,0.0,0.0
10d51m12pt20802915s-20d36m51pt92323091s,10.853391119208057,-20.6144231196972,0.0,0.0,0.0,0.0,0.0
36d28m16pt31991583s-41d54m50pt94375995s,36.47119997661891,-41.91415104443093,0.0,0.0,0.0,0.0,0.0
2d56m01pt6186889s-15d22m59pt00637594s,2.93378296913935,-15.383057326648919,0.0,0.0,0.0,0.0,0.0
2d55m43pt77956828s-15d22m53pt40661766s,2.9288276578549586,-15.381501838238446,0.0,0.0,0.0,0.0,0.0
4d45m34pt18986889s-40d51m43pt60755318s,4.759497185801797,-40.86211320921588,0.0,0.0,0.0,0.0,0.0
