object_id,ra,dec,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_M1_24,flux_Spitzer_M2_70,flux_DES_g,flux_DES_r,flux_DES_i,flux_DES_z,flux_DES_Y
88d21m08pt23096203s-33d42m11pt39349775s,88.35228637834102,-33.703164860484925,-0.3210307926579487,-0.31745530822889534,-0.5361983153507487,-999.0,-999.0,-0.10973895676667786,0.7014702250018529,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
88d21m54pt38932442s-33d42m13pt19106439s,88.36510814567254,-33.70366418455411,0.04962700681894687,-0.0476891369599695,-0.06847535469811572,-999.0,-999.0,0.43723440939752023,-0.21240111264603895,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
88d20m09pt74633861s-33d42m54pt2999808s,88.33604064961483,-33.71508332800021,2.5833868646241984,6.435918413662015,9.672063871658326,-999.0,-999.0,0.8574976203905789,-4.647911061911992,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
88d19m48pt8284935s-33d42m42pt89990813s,88.33023013708375,-33.71191664114773,0.849394771157883,1.2429292768372273,2.012629430952609,-999.0,-999.0,0.500739348837015,0.3317954379777776,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
88d19m51pt9540592s-33d42m44pt29998123s,88.33109834977691,-33.71230555034175,1.2326372887029975,2.5624087519463643,5.798598708657461,-999.0,-999.0,1.5327224423026886,1.0827078851474228,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
88d20m26pt81459385s-33d42m18pt69931468s,88.34078183162464,-33.705194254078826,0.7425869404807024,3.1565053136860053,5.079517494481402,-999.0,-999.0,0.8760786125260859,1.0176974010706195,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
90d02m09pt29683101s-20d08m25pt42075551s,90.03591578639167,-20.14039465430772,0.04460809541482583,-0.49680913445471053,-0.9280214788172231,-999.0,-999.0,-0.5499253740000836,-0.2704548293711626,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
90d01m35pt85316203s-20d07m59pt41999829s,90.02662587834072,-20.133172221746328,6.561112149541924,22.536761281755474,46.35981851979618,-999.0,-999.0,7.247720745483593,7.908802919972344,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
92d56m40pt78433942s-30d37m20pt36208363s,92.94466231650595,-30.62232280100793,-999.0,-999.0,-999.0,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
92d56m43pt10698141s-30d36m52pt76199783s,92.94530749483592,-30.614656110508314,-999.0,-999.0,-999.0,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
92d56m24pt28316721s-30d36m47pt16236396s,92.9400786575596,-30.613100656654797,-999.0,-999.0,-999.0,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
92d56m11pt9660189s-30d37m01pt76219597s,92.9366572274719,-30.617156165547545,-999.0,-999.0,-999.0,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
92d55m59pt8825963s-30d36m43pt16171806s,92.93330072119318,-30.611989366128352,-999.0,-999.0,-999.0,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
92d55m47pt79458085s-30d37m20pt36092911s,92.92994293912632,-30.622322480307687,-999.0,-999.0,-999.0,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
110d51m11pt41361453s-73d27m34pt64474649s,110.85317044847947,-73.4596235406916,2.3022634033960516,3.654638130240263,7.066720629746515,-999.0,-999.0,2.6283963442389107,2.176925337802367,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
110d48m46pt69244396s-73d27m26pt86286416s,110.81297012332251,-73.45746190671217,-0.2537663491769099,-0.1462522853667755,-0.41004972357752173,-999.0,-999.0,-0.14079085251210594,0.022318948317790493,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
110d50m13pt03741408s-73d26m56pt65538492s,110.83695483724578,-73.44907094025476,1.253152451067578,1.4007546819488212,2.1479804254006023,-999.0,-999.0,-0.05905046144076827,0.3546494506960139,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
110d50m17pt95383063s-73d26m57pt65466219s,110.83832050850948,-73.44934851727518,0.9879016844438355,1.3584856239350984,2.364866845788847,-999.0,-999.0,-0.34631215619874967,0.003037256872825442,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
82d13m07pt1333634s-39d27m50pt76770368s,82.21864815650078,-39.464102139910395,-999.0,12.011785649291232,,-999.0,-999.0,2.2949523039488926,2.7732451731303414,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
82d13m14pt38817517s-39d28m16pt76757612s,82.22066338199241,-39.47132432670034,-999.0,71.95730711095385,,-999.0,-999.0,14.631503802433166,17.167693765282777,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
48d13m47pt986321s8d22m22pt30596361s,48.22999620027693,8.372862767668968,0.7346917478816116,2.840436072421592,4.628207727088525,-999.0,-999.0,0.5530035632434651,0.39885840229909186,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
52d46m16pt46385503s-21d00m22pt19638647s,52.77123995973191,-21.006165662909208,-999.0,176.79194825535427,-999.0,-999.0,-999.0,31.359710925670058,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
