object_id,ra,dec,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_M1_24,flux_Spitzer_M2_70,flux_DES_g,flux_DES_r,flux_DES_i,flux_DES_z,flux_DES_Y
16d23m44pt22264049s-24d38m43pt58535203s,16.39561740013605,-24.64544037556473,-999.0,,-999.0,-999.0,-999.0,0.11546588866041389,0.16118918133123902,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d22m38pt21034632s-24d38m27pt78536621s,16.37728065175652,-24.64105149061377,-999.0,,-999.0,-999.0,-999.0,0.13119803923076867,-0.03033617977040001,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m19pt35750823s-24d38m39pt98629732s,16.388710418951817,-24.644440638143095,-999.0,,-999.0,-999.0,-999.0,5.151131548645184,5.5655260416265655,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m11pt21592155s-24d39m07pt58635986s,16.386448867097652,-24.65210732218444,-999.0,,-999.0,-999.0,-999.0,2.4391569594899307,2.1272915402048347,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m34pt54069919s-24d38m44pt18585516s,16.39292797199671,-24.645607181989103,-999.0,,-999.0,-999.0,-999.0,0.1990390808822903,0.19645561049093824,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m25pt29930915s-24d39m00pt18617469s,16.39036091920871,-24.65005171519112,-999.0,,-999.0,-999.0,-999.0,0.558267557327891,0.712271113794076,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d22m51pt19268571s-24d38m24pt38599595s,16.380886857140663,-24.640107221096084,-999.0,,-999.0,-999.0,-999.0,1.723920120838622,1.2337276001019553,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m41pt80164201s-24d38m36pt18549406s,16.39494490055822,-24.64338485946044,-999.0,,-999.0,-999.0,-999.0,0.9797567426508822,1.2516230116412654,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m22pt87887854s-24d39m05pt98623242s,16.389688577373406,-24.651662842339334,-999.0,,-999.0,-999.0,-999.0,-0.08183519278839543,0.2002221571539002,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m13pt19641962s-24d39m05pt18635586s,16.38699900544912,-24.65144065440608,-999.0,,-999.0,-999.0,-999.0,0.08704611904348102,0.23803515847816753,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m11pt43597948s-24d39m09pt38635975s,16.386509994298763,-24.65260732215406,-999.0,27.59542258626529,-999.0,-999.0,-999.0,2.8872768330747656,2.4270945870073684,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m07pt47497254s-24d39m05pt98634781s,16.385409714594214,-24.65166287439066,-999.0,,-999.0,-999.0,-999.0,-0.06255171240812524,-0.01186244788730405,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d23m11pt21592114s-24d39m05pt98635988s,16.38644886698423,-24.65166287774384,-999.0,,-999.0,-999.0,-999.0,0.9764930722511604,0.796118964942911,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16d22m47pt01172308s-24d38m29pt78582689s,16.379725478634004,-24.641607174134943,-999.0,,-999.0,-999.0,-999.0,0.7717133193128594,0.599952285088957,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
22d58m24pt2009025s-13d37m11pt13269827s,22.97338913958469,-13.619759082851653,3.5370769391463837,2.0864357974940826,2.55509705286774,-999.0,-999.0,0.18423134994180518,0.4076727889370009,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
22d58m00pt12367413s-13d36m18pt73309771s,22.966701020591856,-13.605203638253256,0.6137623500781482,-0.5432228975480511,-0.4884748902116757,-999.0,-999.0,-0.1682594738134315,-0.4233291991935161,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
22d58m06pt50286053s-13d36m36pt13305433s,22.968473016813828,-13.61003695953594,10.883465580627279,39.14003152070735,72.97721679641893,-999.0,-999.0,8.51862283589169,9.283270583724152,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
0d47m35pt7414972s-6d05m45pt46070142s,0.7932615269987924,-6.0959613059510875,-999.0,-1.0651747193455838,-1.6426623667041345,-999.0,-999.0,0.2537239654712248,0.11435331886498258,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
0d47m48pt01092374s-6d05m28pt46077468s,0.796669701037554,-6.091239104079102,-999.0,5.7488815637447885,13.859048354164466,-999.0,-999.0,2.327996599056209,2.684543431007448,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
0d48m10pt33722465s-6d05m57pt46071002s,0.8028714512914789,-6.099294641672274,-999.0,14.506761801661057,30.993382221917134,-999.0,-999.0,3.7804706968118906,3.2494612448981726,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10d32m29pt62604642s-28d32m14pt41093398s,10.541562790672964,-28.537336370549756,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
10d51m12pt20802915s-20d36m51pt92323091s,10.853391119208055,-20.6144231196972,45.45619821249287,239.82483221602914,626.0782920777139,,,27.274480565176024,19.279999496158943,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
36d28m16pt31991583s-41d54m50pt94375995s,36.47119997661891,-41.91415104443093,-999.0,-999.0,-999.0,-999.0,-999.0,28.08744768913004,27.76267387146831,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2d56m01pt6186889s-15d22m59pt00637594s,2.93378296913935,-15.38305732664892,-999.0,3.240984554398471,8.398307755211956,-999.0,-999.0,0.5993818643012104,0.5338935438874006,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2d55m43pt77956828s-15d22m53pt40661766s,2.9288276578549586,-15.381501838238446,-999.0,3.850793627800186,5.296199658617763,-999.0,-999.0,0.2640578596645484,-0.015234191247137596,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d45m34pt18986889s-40d51m43pt60755318s,4.759497185801797,-40.86211320921588,-999.0,9.767490200154079,-999.0,-999.0,-999.0,1.8354505057044161,1.6318853046432884,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d45m39pt2142948s-40d51m33pt60754707s,4.760892859665771,-40.85933542974102,-999.0,2.142981647503442,-999.0,-999.0,-999.0,-0.21871497488491032,-0.11939747422343044,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d45m51pt11481506s-40d51m45pt80729101s,4.764198559739286,-40.862724247501895,-999.0,8.80199498275616,-999.0,-999.0,-999.0,0.9698107647052707,1.0424928674467207,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d45m49pt52797661s-40d51m43pt60734478s,4.763757771280492,-40.86211315132832,-999.0,11.493668405495283,-999.0,-999.0,-999.0,1.3833382134776995,1.3366327381343261,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
6d51m29pt34954568s26d06m43pt24716465s,6.8581526515791404,26.11201310129174,-999.0,,-999.0,-999.0,-999.0,0.3390633513211569,0.11064770539714903,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
6d51m53pt18242635s26d07m25pt44751243s,6.864772896208636,26.12373542011841,-999.0,,-999.0,-999.0,-999.0,0.06482846011135465,-0.18441179757560874,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
6d55m59pt84380653s26d16m16pt59913458s,6.933289946256946,26.271277537384236,-999.0,-1.5750909652450782,-999.0,-999.0,-999.0,-0.6169068973023732,-1.0735432039999473,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
6d56m17pt01762799s26d16m09pt99921007s,6.938060452220176,26.26944422501862,-999.0,2.10710255008165,-999.0,-999.0,-999.0,0.5876018291771331,0.5002071076262474,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
7d01m34pt1974354s-75d38m08pt43216435s,7.026165954278846,-75.63567560120777,-999.0,97.62864298165033,202.74341778949946,-999.0,-999.0,44.553448372085384,49.61962692497639,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d02m47pt09655564s18d08m51pt60579824s,8.046415709899861,18.147668277288183,-0.05080368520626238,-0.2898741377473216,-0.6451248442355989,-999.0,-999.0,0.11146303072194634,0.4514367830643072,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d02m35pt52050175s18d08m58pt20551832s,8.043200139374601,18.149501532867337,-0.04226912124272179,-0.18222672460675962,-0.37110687733373166,-999.0,-999.0,-0.377827031637635,-0.10931515255361153,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d03m05pt19704876s18d09m02pt80585028s,8.051443624655189,18.15077940285534,2.601674887552641,6.937542218026473,13.712027070068517,-999.0,-999.0,1.8756326714565712,2.3685404728451136,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d28m12pt32957902s-7d52m32pt20133609s,8.47009154972909,-7.875611482247887,-999.0,-999.0,-0.242477956956782,-999.0,-999.0,-0.27698999296565435,26.247518033809722,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d27m50pt12046461s-7d52m03pt00122377s,8.46392235128097,-7.867500339937108,-999.0,-999.0,2.054680840948238,-999.0,-999.0,0.7790798723762811,0.2172857887159369,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d28m41pt604992s-7d51m59pt20098902s,8.478223608888783,-7.866444719172139,-999.0,-999.0,7.237572501200556,-999.0,-999.0,6.310413374556658,1.7248483319242696,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d28m23pt63602941s-7d52m12pt40126884s,8.47323223039076,-7.870111463567701,-999.0,-999.0,8.475534896902497,-999.0,-999.0,1.8396010421870232,0.741371511272698,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d37m19pt76273492s2d25m00pt32498946s,8.622156315256571,2.416756941516139,-999.0,,1.2818102299428664,-999.0,-999.0,6.521746274510589,1.1084141102698115,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d36m52pt73873908s2d25m14pt32514144s,8.614649649744297,2.4206458726225755,-999.0,,-2.144358494019431,-999.0,-999.0,0.19586673490691853,-0.4420962340466936,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d36m53pt7396396s2d25m16pt72513846s,8.614927677665994,2.4213125384601866,-999.0,,18.869992070477736,-999.0,-999.0,2.246312960538733,1.7464830441164125,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d37m24pt36688605s2d25m06pt32494849s,8.62343524612455,2.4184235968031413,-999.0,,7.161496563275118,-999.0,-999.0,0.7503755132321985,0.8249589564647531,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
8d37m10pt15434495s2d25m24pt52506028s,8.619487318043038,2.423479183410281,-999.0,,19.00000191861214,-999.0,-999.0,3.074909437277824,2.7188573307798345,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
