Filter,Pivot_Wavelength_A,Filter_FWHM_A
Johnson_B,4402.11,974.10
Johnson_V,5492.92,870.65
Cousins_R,6556.08,1591.00
Cousins_I,8046.61,1495.10
SDSS_u,3556.52,558.41
SDSS_g,4702.50,1158.37
SDSS_r,6175.58,1111.18
SDSS_i,7489.98,1044.54
SDSS_z,8946.71,1124.59
ACS_F475W,4752.55,1357.10
ACS_F550M,5583.36,528.82
ACS_F555W,5368.66,1113.66
ACS_F606W,5925.34,2006.26
ACS_F625W,6307.15,1325.37
ACS_F775W,7704.45,1359.21
ACS_F814W,8092.39,1836.92
WFPC2_F555W,5442.22,1455.54
WFPC2_F675W,6718.14,1154.87
WFPC2_F814W,8001.60,1485.04
WFC3_F502N,5008.83,65.28
WFC3_F555W,5309.90,1581.73
WFC3_F606W,5907.03,2245.34
WFC3_F625W,6254.00,1494.87
WFC3_F656N,6561.03,17.66
WFC3_F775W,7732.98,1461.78
WFC3_F814W,8304.68,2490.24
Kron_V,5416.22,907.29
