key,fullname,dir
a141,Abell141,cubes
a209,A209,cubes
a2697,Abell2697,cubes
a2811,Abell2811,cubes
a2813,A2813,cubes
a3017,A3017,cubes
a3186,A3186,cubes_new
a3322,Abell3322,cubes_new
a3364,A3364,cubes_new
a3378,A3378,cubes_new
a3399,A3399,cubes_new
a383,A383,cubes_new
a520,Abell520,cubes_new
macs0011m15,MACS0011.7-1523,cubes
macs0018m40,MACSJ0018.9-4051,cubes
macs0027p26a,MACS0027.2+2607,cubes
macs0027p26b,MACSJ0027.8+2616,cubes
macs0028m75,MACSJ0028.2-7537,cubes
macs0032p18,MACS0032.1+1808,cubes
macs0033m07,MACS0035.4-2015,cubes
macs0034p02a,MACS0034.4+0225,cubes
macs0034p02b,MACS0034.9+0234,cubes
macs0035m20,MACS0035.4-2015,cubes_new
macs0040m44,MACSJ0040.8-4407,cubes
macs0051p27,MACSJ0051.6+2720,cubes
macs0111p08,MACSJ0111.5+0855,cubes
macs0138m21,MACS0138.0-2155,cubes
macs0140m05,MACS0140.0-0555,cubes
macs0140m34,MACSJ0140.0-3410,cubes
macs0152m28,MACSJ0152.5-2853,cubes
macs0159m34,MACSJ0159.0-3413,cubes
macs0217m52,MACSJ0217.2-5244,cubes
macs0238m53,SMACSJ0234.7-5831,cubes_new
macs0242m21,MACSJ0242.5-2132,cubes_new
macs0257m23,MACSJ0257.1-2325,cubes_new
macs0308p26,MACSJ0308.9+2645,cubes_new
macs0326m00,MACS0326.8-0043,cubes_new
macs0358m29,MACSJ0358.8-2955,cubes_new
macs0404m27,MACS0404.2-2703,cubes_new
macs0404p11,MACSJ0404.6+1109,cubes_new
macs0406m49,MACSJ0406.0-4916,cubes_new
macs0449m28,MACSJ0449.3-2848,cubes_new
macs0455p06,MACSJ0455.2+0657,cubes_new
macs0529m31,MACSJ0529.7-3145,cubes_new
macs0547m39,MACS0547.0-3904,cubes_new
macs0553m33a,MACSJ0553.4-3342A,cubes_new
macs0553m33b,MACSJ0553.4-3342B,cubes_new
macs0600m20,MACSJ0600.1-2008,cubes_new
macs0611m30,MACSJ0611.8-3036,cubes_new
macs0723m73,SMACSJ0723.6-7327,cubes_new
rbs653,RBS653,cubes_new
rxj0218m31,RXCJ0218.3-3141,cubes
rxj0232m44,RXCJ0232.2-4420,cubes
rxj0312p08,RXCJ0312.9+0822,cubes_new
rxj0331m21,RXCJ0331.1-2100,cubes_new
rxj0437p00,RXCJ0437.1+0043,cubes_new
rxj0439p05,RXCJ0439.0+0520,cubes_new
rxj0439p07,RXCJ0439.0+0716,cubes_new
rxj0532m37,RXCJ0532.0-3701,cubes_new
s26,AbellS26,cubes
s780,Abell S780,cubes
z2089,Zw2089,cubes_new
