CUBEKEY,cluster_fullname,cluster_ra,cluster_dec,source_dir
rxj0218m31,RXCJ0218.3-3141,34.58129863040806,-31.69939687668962,cubes
a209,A209,22.969416197924584,-13.61209250359877,cubes
rxj0232m44,RXCJ0232.2-4420,38.07857428318949,-44.34662663699782,cubes
macs0140m34,MACSJ0140.0-3410,25.0238050778472,-34.176944476350016,cubes
macs0111p08,MACSJ0111.5+0855,17.88123183204167,8.928403637619319,cubes
macs0051p27,MACSJ0051.6+2720,12.910696991547919,27.33357547971057,cubes
macs0140m05,MACS0140.0-0555,25.003592373123123,-5.91705469512778,cubes
macs0040m44,MACSJ0040.8-4407,10.208964309832721,-44.13091491612987,cubes
macs0011m15,MACS0011.7-1523,2.9290869736677587,-15.3887518374017,cubes
a141,Abell141,16.386785048117424,-24.646496210645967,cubes
macs0217m52,MACSJ0217.2-5244,34.31325042068582,-52.76019528842647,cubes
a2697,Abell2697,0.79856931500948,-6.091544661679325,cubes
macs0138m21,MACS0138.0-2155,24.516220192104292,-21.92522011983686,cubes
macs0018m40,MACSJ0018.9-4051,4.756705684875445,-40.863752051028236,cubes
a2813,A2813,10.853776952379075,-20.62122867471815,cubes
macs0159m34,MACSJ0159.0-3413,29.766485516234262,-34.21758182833766,cubes
macs0025m12,MACSJ0025.4-1222,6.386565507841748,-12.386070138372844,cubes
rxj0019p03,RXCJ0019.6+0336,4.911404446696832,3.599343020580438,cubes
a3017,A3017,36.471087922588296,-41.91456770088613,cubes
macs0027p26a,MACS0027.2+2607,6.862669130004791,26.11912431102761,cubes
macs0032p18,MACS0032.1+1808,8.050245064685226,18.143307189073557,cubes
macs0027p26b,MACSJ0027.8+2616,6.941003467433741,26.27438860365214,cubes
s780,Abell S780,224.8716645436179,-18.179363243652222,cubes
a2811,Abell2811,10.537610366655056,-28.53572532948923,cubes
macs0028m75,MACSJ0028.2-7537,7.040040371831652,-75.62853596563879,cubes
macs0152m28,MACSJ0152.5-2853,28.126689427293268,-28.884492008953615,cubes
macs0033m07,MACS0035.4-2015,8.471549713918339,-7.869722587604801,cubes
s26,AbellS26,4.783542312867333,-20.441070059987297,cubes
macs0034p02b,MACS0034.9+0234,8.73857221117775,2.5606921599659285,cubes
macs0018p16,MACSJ0018.5+1626,4.6395957416203055,16.43694892009977,cubes
macs0034p02a,MACS0034.4+0225,8.61706848526243,2.4228958635069398,cubes
macs0035m20,MACS0035.4-2015,8.859266491981181,-20.26248518697438,cubes
a3230,A3230,62.868344308295754,-63.68582762092041,cubes
macs0245m53,MACS0245.5-5302,41.354010192858105,-53.02938367736935,cubes
a3186,A3186,57.940645237673706,-73.97250203483385,cubes_new
a3322,Abell3322,77.57341284625635,-45.32174949496542,cubes_new
a3364,A3364,86.90786877032335,-31.873429086990555,cubes_new
a3378,A3378,91.47581328500208,-35.30193048963425,cubes_new
a3399,A3399,99.32434531647336,-48.4853324996494,cubes_new
a3404,A3404,101.37399249999137,-54.22734061488191,cubes_new
a383,A383,42.01415747057548,-3.5293847433195205,cubes_new
a483,A483,63.99028619077783,-11.547893625490602,cubes_new
a520,Abell520,73.55671344941014,2.9561518584190303,cubes_new
macs0238m53,SMACSJ0234.7-5831,38.6767163048647,-58.52370842653193,cubes_new
macs0242m21,MACSJ0242.5-2132,40.64984482999476,-21.540268047055523,cubes_new
macs0257m23,MACSJ0257.1-2325,44.286643768771484,-23.435220436069283,cubes_new
macs0308p26,MACSJ0308.9+2645,47.23351046136572,26.760862995020034,cubes_new
macs0326m00,MACS0326.8-0043,51.708494801450605,-0.7308075517987169,cubes_new
macs0358m29,MACSJ0358.8-2955,59.717894844656755,-29.934027491646372,cubes_new
macs0404m27,MACS0404.2-2703,61.07853993507883,-27.05144139655046,cubes_new
macs0404p11,MACSJ0404.6+1109,61.138518834989895,11.1335071669113,cubes_new
macs0406m49,MACSJ0406.0-4916,61.494628979237405,-49.26567920340963,cubes_new
macs0439m46,MACSJ0439.2-4600,69.80851061480519,-46.01366951593261,cubes_new
macs0449m28,MACSJ0449.3-2848,72.3373632728661,-28.819569900021555,cubes_new
macs0455p06,MACSJ0455.2+0657,73.82262283355861,6.963944469482098,cubes_new
macs0510p02,MACSJ0510.4+0220,77.62295934002823,2.34765313601074,cubes_new
macs0521m27,MACSJ0527.4-2754,80.35654646870026,-27.91473802795192,cubes_new
macs0529m31,MACSJ0529.7-3145,82.43977285159829,-31.75276784776153,cubes_new
macs0547m39,MACS0547.0-3904,86.76281324253735,-39.074869928327416,cubes_new
macs0549m62,SMACSJ0549.3-6205,87.33371514898728,-62.086772377745845,cubes_new
macs0553m33a,MACSJ0553.4-3342A,88.35806312155687,-33.707581386538216,cubes_new
macs0553m33b,MACSJ0553.4-3342B,88.3327680653888,-33.70727779454809,cubes_new
macs0600m20,MACSJ0600.1-2008,90.03464356468263,-20.136033543245514,cubes_new
macs0600m43,SMACSJ0600.2-4353,90.05469550648077,-43.89192586205538,cubes_new
macs0611m30,MACSJ0611.8-3036,92.93772239500053,-30.616906189672093,cubes_new
macs0723m73,SMACSJ0723.6-7327,110.82818546091325,-73.45434979589099,cubes_new
rbs653,RBS653,82.22149107536406,-39.47232430210795,cubes_new
rxj0303m77,RXCJ0303.7-7752,45.94377410149366,-77.87872503371628,cubes_new
rxj0312p08,RXCJ0312.9+0822,48.23715584582292,8.37464060775818,cubes_new
rxj0331m21,RXCJ0331.1-2100,52.775465130201475,-21.009193585187965,cubes_new
rxj0409p11,RXCJ0409.2+1108,62.29982774746333,11.141204171115657,cubes_new
rxj0439p05,RXCJ0439.0+0520,69.7598019333507,5.345706753514217,cubes_new
rxj0439p07,RXCJ0439.0+0716,69.75255548138111,7.26779203747656,cubes_new
rxj0510m08,RXCJ0510.6-0801,77.69964653986338,-8.02918756211646,cubes_new
rxj0532m37,RXCJ0532.0-3701,83.23338547318886,-37.02700369144655,cubes_new
s520,Abells520,79.15651184533532,-54.50064972130855,cubes_new
z2089,Zw2089,135.1540160423622,20.894552401436773,cubes_new
rxj0437p00,RXCJ0437.1+0043,69.28968854892567,0.731361872247128,cubes_new
