CUBEKEY,DIR,DATE,TIME,OBJECT,FWHM_XY_AVG,FWHM_MAX,FWHM_MIN
a141,cubes,2023-08-21,20:53:46.582424,Abell141,N/A,N/A,N/A
a209,cubes,2019-11-25,12:41:47,A209,0.903,1.146,0.781
a2697,cubes,2023-09-19,15:47:51.363368,Abell2697,N/A,N/A,N/A
a2811,cubes,2023-08-16,01:23:16.344382,Abell2811,N/A,N/A,N/A
a2813,cubes,2022-09-15,02:49:34.441037,A2813,N/A,N/A,N/A
a3017,cubes,2019-11-20,12:11:41,A3017,0.754,0.939,0.651
a3230,cubes,2023-10-09,00:21:16.591011,A3230,N/A,N/A,N/A
macs0011m15,cubes,2019-09-10,08:13:26,MACS0011.7-1523,0.949,1.253,0.813
macs0018m40,cubes,2019-11-28,11:58:48,MACSJ0018.9-4051,0.967,1.149,0.865
macs0018p16,cubes,2019-10-16,08:47:32,MACSJ0018.5+1626,0.9495,1.124,0.795
macs0025m12,cubes,2019-10-14,12:22:08,MACSJ0025.4-1222,1.0335,1.218,0.852
macs0027p26a,cubes,2019-10-04,11:55:20,MACS0027.2+2607,0.9595,1.26,0.801
macs0027p26b,cubes,2019-11-21,13:23:54,MACSJ0027.8+2616,0.9504999999999999,1.226,0.845
macs0028m75,cubes,2019-09-10,09:48:00,MACSJ0028.2-7537,1.116,1.314,0.839
macs0032p18,cubes,2019-10-16,15:58:45,MACS0032.1+1808,1.0474999999999999,1.261,0.88
macs0033m07,cubes,2019-09-16,09:56:54,MACS0035.4-2015,0.7565,0.962,0.585
macs0034p02a,cubes,2019-10-04,11:47:49,MACS0034.4+0225,0.83,0.983,0.702
macs0034p02b,cubes,2019-10-16,09:06:50,MACS0034.9+0234,0.8755,1.141,0.761
macs0035m20,cubes,2019-10-24,13:23:40,MACS0035.4-2015,1.039,1.21,0.867
macs0040m44,cubes,2019-09-10,08:13:38,MACSJ0040.8-4407,0.9395,1.18,0.802
macs0051p27,cubes,2019-12-06,12:45:03,MACSJ0051.6+2720,0.7304999999999999,0.911,0.61
macs0111p08,cubes,2019-10-04,11:52:10,MACSJ0111.5+0855,0.835,1.033,0.719
macs0138m21,cubes,2019-09-16,08:26:15,MACS0138.0-2155,0.663,0.839,0.54
macs0140m05,cubes,2019-10-03,09:25:14,MACS0140.0-0555,1.1019999999999999,2.467,0.859
macs0140m34,cubes,2019-12-03,13:51:18,MACSJ0140.0-3410,1.0525,1.245,0.942
macs0152m28,cubes,2019-08-09,12:04:41,MACSJ0152.5-2853,0.9964999999999999,1.245,0.815
macs0159m34,cubes,2019-08-09,12:03:55,MACSJ0159.0-3413,0.733,0.88,0.616
macs0217m52,cubes,2019-08-01,14:09:30,MACSJ0217.2-5244,0.9675,1.179,0.809
macs0245m53,cubes,2023-11-02,02:29:00.095689,MACS0245.5-5302,N/A,N/A,N/A
