object_id,ra,dec,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_M1_24,flux_Spitzer_M2_70,flux_DES_g,flux_DES_r,flux_DES_i,flux_DES_z,flux_DES_Y
28d07m28pt35s-28d53m18pt439s,28.124541666666666,-28.888455277777776,-999.0,8.596376564082576,22.621729722305982,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
28d08m00pt3s-28d52m56pt898s,28.133416666666665,-28.882471666666667,-999.0,6.309792499465176,9.694955642941949,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
28d07m25pt59s-28d53m23pt342s,28.123775,-28.88981722222222,-999.0,1.3437738658633203,2.321046805025322,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
28d07m06pt405s-28d53m28pt324s,28.118445833333332,-28.891201111111112,-999.0,1.5455048956233386,2.469266487544307,-999.0,-999.0,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d19m21pt9s-52d45m27pt982s,34.32274999999999,-52.75777277777778,-999.0,-999.0,-999.0,-999.0,-999.0,0.47039434833324206,0.42653363270286404,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d19m22pt71s-52d46m02pt865s,34.32297499999999,-52.7674625,-999.0,-999.0,-999.0,-999.0,-999.0,0.31013486111875466,0.47767143522082445,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d17m58pt905s-52d45m18pt335s,34.29969583333333,-52.755093055555555,-999.0,-999.0,-999.0,-999.0,-999.0,1.6832255407565073,1.7159233548306865,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d19m12pt345s-52d46m02pt383s,34.320095833333326,-52.76732861111111,-999.0,-999.0,-999.0,-999.0,-999.0,-0.27374361676741454,-0.04768471701790364,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d19m20pt58s-52d45m42pt851s,34.32238333333333,-52.76190305555556,-999.0,-999.0,-999.0,-999.0,-999.0,3.5188940964834368,5.640071873746489,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d18m34pt755s-52d46m03pt991s,34.30965416666666,-52.76777527777778,-999.0,-999.0,-999.0,-999.0,-999.0,0.21555478245938986,0.07918541062944835,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d18m23pt595s-52d45m52pt899s,34.306554166666665,-52.764694166666665,-999.0,-999.0,-999.0,-999.0,-999.0,-0.13515323231795642,1.0508049468386569,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17d52m57pt27s8d56m04pt135s,17.882574999999996,8.934481944444444,-999.0,-999.0,-999.0,-999.0,-999.0,-0.10097303895119428,-0.7321794039197702,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17d52m45pt885s8d55m56pt74s,17.879412499999997,8.932427777777777,-999.0,-999.0,-999.0,-999.0,-999.0,0.2082099664061323,0.2736091633471054,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17d53m16pt725s8d55m23pt545s,17.887979166666664,8.923206944444443,-999.0,-999.0,-999.0,-999.0,-999.0,-0.16035286702937668,11.25236344994786,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17d52m41pt58s8d55m37pt45s,17.878216666666667,8.927069444444443,-999.0,-999.0,-999.0,-999.0,-999.0,2.0028817360032085,2.465724259559114,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m31pt605s-44d20m30pt295s,38.07544583333333,-44.341748611111115,5.145112651354924,13.079916686525584,21.638813615615522,28.9184500570633,34.22304726872636,1.86212816825957,0.8916407441926057,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m58pt125s-44d20m26pt195s,38.08281249999999,-44.340609722222226,7.616662538993359,14.543007916402873,20.174896453204585,25.074133938875388,28.52421711451566,1.2424561052750334,1.0300623585381052,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d05m01pt605s-44d20m27pt16s,38.08377916666666,-44.34087777777778,2.8055381642998816,4.325321311911393,5.278514301528579,5.044443822768581,5.504528367657316,0.8667836719785161,0.16519686557033136,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m00pt81s-44d20m58pt424s,38.06689166666666,-44.349562222222225,-0.07393317454768253,0.5841187726562638,0.4886698613969296,-0.5295610616260731,3.33806869484256,0.3606670278639803,0.08501252284324196,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m12pt825s-44d21m10pt642s,38.070229166666664,-44.35295611111111,1.7193517931007467,2.956990093765354,3.5009491441283798,2.8472958490971556,3.4101111213342135,0.22288139897339634,0.198020286712506,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m06pt09s-44d20m57pt701s,38.06835833333332,-44.349361388888894,7.775684368060965,41.53493561511814,96.19400679986263,205.96047752357046,268.8262642733518,21.8886956549913,13.92855785841132,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
