object_id,ra,dec,z,angdisp,foreground,cluster_member,lensed,Z_dir,Z_dir_e,Z_j19,Z_j19_e,R23,R23_e,mean_vel_disp,sterr_vel_disp,zcluster,name,oiii5007_flux,oiii5007_flux_err,oiii5007_ew,oiii5007_ew_err,oiii5007_centroid,oiii5007_fwhm,oiii5007_vel_disp,oiii4959_flux,oiii4959_flux_err,oiii4959_ew,oiii4959_ew_err,oiii4959_centroid,oiii4959_fwhm,oiii4959_vel_disp,oii3726_flux,oii3726_flux_err,oii3726_ew,oii3726_ew_err,oii3726_centroid,oii3726_fwhm,oii3726_vel_disp,oii3729_flux,oii3729_flux_err,oii3729_ew,oii3729_ew_err,oii3729_centroid,oii3729_fwhm,oii3729_vel_disp,halpha_flux,halpha_flux_err,halpha_ew,halpha_ew_err,halpha_centroid,halpha_fwhm,halpha_vel_disp,hbeta_flux,hbeta_flux_err,hbeta_ew,hbeta_ew_err,hbeta_centroid,hbeta_fwhm,hbeta_vel_disp,hgamma_flux,hgamma_flux_err,hgamma_ew,hgamma_ew_err,hgamma_centroid,hgamma_fwhm,hgamma_vel_disp,hdelta_flux,hdelta_flux_err,hdelta_ew,hdelta_ew_err,hdelta_centroid,hdelta_fwhm,hdelta_vel_disp,hepsilon_flux,hepsilon_flux_err,hepsilon_ew,hepsilon_ew_err,hepsilon_centroid,hepsilon_fwhm,hepsilon_vel_disp,hzeta_flux,hzeta_flux_err,hzeta_ew,hzeta_ew_err,hzeta_centroid,hzeta_fwhm,hzeta_vel_disp,heta_flux,heta_flux_err,heta_ew,heta_ew_err,heta_centroid,heta_fwhm,heta_vel_disp,oiii4363_flux,oiii4363_flux_err,oiii4363_ew,oiii4363_ew_err,oiii4363_centroid,oiii4363_fwhm,oiii4363_vel_disp,neiii_flux,neiii_flux_err,neiii_ew,neiii_ew_err,neiii_centroid,neiii_fwhm,neiii_vel_disp,nii6583_flux,nii6583_flux_err,nii6583_ew,nii6583_ew_err,nii6583_centroid,nii6583_fwhm,nii6583_vel_disp,nii6548_flux,nii6548_flux_err,nii6548_ew,nii6548_ew_err,nii6548_centroid,nii6548_fwhm,nii6548_vel_disp,sii6716_flux,sii6716_flux_err,sii6716_ew,sii6716_ew_err,sii6716_centroid,sii6716_fwhm,sii6716_vel_disp,sii6731_flux,sii6731_flux_err,sii6731_ew,sii6731_ew_err,sii6731_centroid,sii6731_fwhm,sii6731_vel_disp,nev3426_flux,nev3426_flux_err,nev3426_ew,nev3426_ew_err,nev3426_centroid,nev3426_fwhm,nev3426_vel_disp,fevii3760_flux,fevii3760_flux_err,fevii3760_ew,fevii3760_ew_err,fevii3760_centroid,fevii3760_fwhm,fevii3760_vel_disp,heii4686_flux,heii4686_flux_err,heii4686_ew,heii4686_ew_err,heii4686_centroid,heii4686_fwhm,heii4686_vel_disp,hei5876_flux,hei5876_flux_err,hei5876_ew,hei5876_ew_err,hei5876_centroid,hei5876_fwhm,hei5876_vel_disp,delta_R_Mpc
28d07m28pt35s-28d53m18pt439s,28.124541666666666,-28.888455277777776,0.3685022597991703,26.18756698942221,1,0,0,,,8.136207712819106,0.0003223132759472,11.553127319875866,0.807138371015184,90.24411781965512,16.968629147772496,0.4127,macs0152m28,5633.165942915456,88.73810589993931,16.272899234815313,0.7001805217955277,5006.834434651296,1.8919064222872717,44.69202206978304,2066.925844116022,66.25067977829886,5.094981128099903,0.4531126014594603,4958.905404507699,1.8386393702429435,43.648603782046,1972.025110109875,334.6410494381339,10.21072252456436,8.740902462162753,3723.953929713911,3.722236856747003,124.91134374389968,4790.007859504956,704.6785176830236,24.880500511969817,18.406367660484733,3728.498945646053,3.722236856747003,124.81788183127172,3326.646553438983,156.46275364435755,18.090076074927207,1.629690865681502,6562.850388780847,2.446284247256004,45.47055505264721,1251.7930735313405,54.74514389247896,3.1648232793774724,0.3969930180564753,4861.246857033875,1.5783530272663675,37.04699068071581,1191.834021448273,140.45577365115406,3.3719854064964325,1.4075277375357826,4340.264197782985,2.397498085599268,67.25698433194813,1868.4531316612408,132.49759170586495,7.313549762631194,2.073083991305914,4100.948064466931,3.8305561126556222,116.89136035261508,1141.2181990893023,159.8150961730121,4.323717370843989,2.6095989960634833,3968.337193063826,4.70202601528513,149.1014991480272,0.0,70.51428432898811,,,3889.06,1.0,23.37778840736009,2479.304894387156,319.58783748545346,7.567826078692029,4.562357285870275,3836.4228039975783,8.893988267847478,294.3063112445705,0.0,0.0,,,4361.601390926676,5.24949474626123,151.80234817532573,2369.722256973619,160.35818094814414,9.613591606017762,2.9804143777730876,3868.642773415611,3.7659967928921145,121.76917512375086,459.8984305215978,82399076.57678865,1.8957040556102929,648284.6956057377,6584.981238364055,0.5593550990646939,,154.71891421826,390.65154813289007,0.7011329407897495,3.4010136716769,6544.126919302417,0.4999617834394905,,317.9465087987237,15912034.263588872,1.4102691613539504,132010.94385526664,6716.51601060956,0.5707562060055311,,410.0352567773667,100.76075762380816,1.9994862233927384,0.917682713701512,6726.235473650646,2.2688168086123346,40.81998298815339,0.0,0.0,,,3426.0,1.0,26.53754284399528,0.0,0.0,,,3760.403601997672,4.686530296921597,156.90154567127792,0.0,40.51300630308551,,,4685.68,1.0,19.403292965701414,820.6812092577131,405.09278869240376,2.8333717024460756,3.0450624200722096,5868.802323433481,9.99923566878981,216.12712798001303,
28d08m00pt3s-28d52m56pt898s,28.133416666666665,-28.882471666666667,0.4353945077138803,15.836703873235557,0,1,0,9.114995666259174,0.0281785454931841,8.056263125241859,1.545916766995956e-05,6.73938077105613,0.0590458302715164,40.04126771238017,6.2940480517742285,0.4127,macs0152m28,22612.143877310387,86.21972753809413,32.4188613112606,0.3376359916682204,5006.844460918729,2.422826125429748,58.97852298223956,6963.391055800544,79.48183170443126,9.95358760120354,0.3152284408858452,4958.901570678727,2.3452575645975107,57.46530500267108,27827.37926134457,175.18237759716658,25.14332608835812,0.797376801453169,3725.963727019063,2.245594800264498,72.90393295804945,39005.32552181906,225.80803037084925,35.31111728989104,1.0278093462892928,3728.7252690634714,2.245594800264498,72.8493843413415,0.0,0.0,,,6562.8,1.0,13.853480493619768,14305.207405749,116.64963278152294,20.602189576440548,0.4818610078085286,4861.254501433773,2.3255771368678286,58.07855223432735,6981.247846766412,135.78922218383914,7.916576562316297,0.5453597612596651,4340.431219089767,1.996098992566484,54.82949226357368,2486.06223221903,109.73106301507808,2.5198424817058553,0.4444662174315686,4101.435459361129,1.6482849589067816,46.317033816249925,510.9191676224575,200.8957741051858,0.4459028796287729,0.7549596634133818,3969.9016516098936,0.4999617834394905,,2254.945269429306,131.6083568343008,1.7015062653227284,0.4491748014479188,3889.0043563394415,2.237410822988093,69.56577821726171,0.0,0.0,,,3834.040228553068,0.4999617834394905,,553.9824485989592,309.54360221521887,0.5184825343951307,1.0144636920798031,4364.842815561215,1.4496115030312342,37.03863497954872,1847.060741691432,117.31751201248656,1.356276681711317,0.3945508321395445,3869.094721303012,1.7987502288247137,54.52594802545151,0.0,0.0,,,6583.45,1.0,13.810026928666252,0.0,0.0,,,6548.05,1.0,13.88468655302385,0.0,0.0,,,6716.44,1.0,13.536579167464884,0.0,0.0,,,6730.82,1.0,13.507659064352907,461.2141491236999,107.52101048017067,0.3027276814448197,0.4490525410660893,3426.451587525967,1.0879852687885747,30.950324491775714,332.6642868204701,46930.519258183274,0.2935033952917946,204.01270901017577,3758.05039690644,0.4999617834394905,,0.0,0.0,,,4685.563062419283,3.8643027007884823,103.25630581985878,0.0,81.8009830759045,,,5875.62,1.0,15.473706908126772,
28d07m25pt59s-28d53m23pt342s,28.123775,-28.88981722222222,0.5581272868730427,30.45113887447951,0,0,0,8.22062144065925,0.0078637000111632,8.089001439636203,7.310366981159256e-05,7.881225774049133,0.3086956330226467,52.3741927526773,8.504404629894765,0.4127,macs0152m28,8015.955404951427,168.00817141577198,162.68944189334746,9.313616229735626,5006.860256468812,2.7392512912927893,67.33898922350997,3206.6573355592454,160.37018610743434,28.99371373652931,4.023392289418126,4958.771034848052,2.608658050962436,64.51589991735418,7781.035036221552,203.52703618691336,52.461624478275006,6.911597381506326,3726.197075398552,2.4236003863426694,79.2798202750686,9391.589093750346,243.7095395704245,63.44035940639624,8.276159507359669,3728.909717897072,2.4236003863426694,79.22050105382236,0.0,0.0,,,6562.8,1.0,13.853480493619768,3602.8960068598526,131.9971087036491,76.46441059599961,8.034736311498271,4861.383806790796,2.990378443847497,76.13720888975661,1659.9562803632418,74.96904083058841,11.703105073884224,1.8719834954988908,4340.420537574503,2.50968059949276,70.69018114168674,828.6584768275515,98.42800197238476,4.800800576350368,2.2776327713982445,4102.370759853915,2.2085518048343857,65.01512859684713,247.4083825383726,113.15160698529316,1.1843070436324348,2.33240445542048,3969.791337243779,2.5666452198501553,79.18548786792708,0.0,41.62543979367675,,,3889.06,1.0,23.37778840736009,94.34403103440116,102.21285244244424,0.5466732031469053,2.7721945372662593,3835.1891559347823,0.4999617834394905,,491.0771829355455,109.03677649427904,2.9376080193402423,2.2857843227218564,4363.142112339815,2.066716547494742,56.73857485172047,2110.7040865708286,148.5147859482222,9.776992028415735,3.149098875375379,3869.9469955414543,5.025775798061021,163.7726909800938,0.0,0.0,,,6583.45,1.0,13.810026928666252,0.0,0.0,,,6548.05,1.0,13.88468655302385,0.0,0.0,,,6716.44,1.0,13.536579167464884,0.0,0.0,,,6730.82,1.0,13.507659064352907,967.6556705835706,83.10535435475312,3.777322776821965,2.0651717305801087,3425.896628030262,1.8522463063162609,63.72496044466752,365.61559072888326,156.31146181923833,2.271180123485833,4.777610327719125,3760.080308027236,2.9216016224239523,96.04141808833268,0.0,0.0,,,4685.846339629828,1.8397672133823308,46.22696586094837,93.84302355776626,104.57704332722676,4.148634820722029,10.05117856706731,5875.665100241307,0.4999617834394905,,
28d07m06pt405s-28d53m28pt324s,28.118445833333332,-28.891201111111112,0.6380843198402202,50.12698630822702,0,0,0,,,8.118497463451522,4.964509258276556e-05,10.998570976169283,0.5319771671343837,86.11716052351511,19.196195941786915,0.4127,macs0152m28,12497.813173127795,114.21879022265088,96.3272003519996,2.4045731570314395,5006.848341466307,2.921430902647344,72.12000894098762,4369.277413955708,101.17620170783056,39.35763537217971,2.5286683913043673,4958.933113878199,3.12348658458283,78.14961592648613,7736.658719347069,170.10874491382788,31.27782751866589,3.463876209822345,3726.195023762128,2.600977461716403,85.59066390188033,10475.736011079944,225.7157621720564,42.43514382967959,4.5961861582469945,3729.0259064984825,2.600977461716403,85.52662274347466,0.0,0.0,,,6562.8,1.0,13.853480493619768,3189.4584663332716,151.47783886748866,25.859029505204585,3.5224185774908787,4861.403600963811,2.567693131748209,64.6965719160443,1978.326286782942,66.63028151241448,9.405362038033031,1.121923428787341,4340.428553761982,2.1888345239648586,60.82915294571029,874.406032843244,79.98509264999315,3.6153697490781234,1.3212238369414406,4101.943639042971,2.3068490438279508,68.22432723234745,1057.279060419251,121.61201107881588,4.1016989768502095,2.031096057356201,3970.2323426210546,3.2708980837013706,102.45909636980996,18.01468741638465,218.51844868026,0.0571600872380885,3.1375850808198056,3888.242118032387,0.4999617834394905,,0.0,0.0,,,3836.12508941748,5.634769070373554,185.58852742691604,0.0,0.0,,,4364.082113750366,5.218251845088959,150.88247567709968,2686.803172909633,153.590783908254,10.467034586871744,2.741081618683343,3868.745667691025,3.019790131793741,96.66647450314498,0.0,0.0,,,6583.45,1.0,13.810026928666252,0.0,0.0,,,6548.05,1.0,13.88468655302385,0.0,0.0,,,6716.44,1.0,13.536579167464884,0.0,0.0,,,6730.82,1.0,13.507659064352907,3106.080891649543,1544.053431902507,17.3212766216147,54.828052600663455,3425.606949238186,9.99923566878981,370.65991701749095,1350.4946804242002,111.78329128508403,6.627369477905605,2.699963447868607,3759.609042833386,3.557672753119459,118.10479228030772,1412.4611821029937,485.6887479653024,14.330643906912734,15.070067848077358,4686.112682792222,9.99923566878981,271.0131455203778,0.0,0.0,,,5875.62,1.0,15.473706908126772,
STACK,0.0,0.0,0.5000270935565784,,0,0,0,,,7.764833287125827,0.0041654739266069,16.03064291836578,372.1006836556973,151.1607235282965,30.728784200366967,0.4127,macs0152m28,6281.335612593588,210.91624376824296,4.709909839514113,0.431975496715874,5006.827244791841,2.069229872706723,49.51273908009042,1903.6953177454293,150.39795038934847,1.278114397896217,0.2801637600262726,4958.907929726793,1.8216130637487904,43.1755128575575,12211.323277801328,419584.46755280177,9.13022310024249,1578.7224849701288,3727.464119116391,12.703675431047174,433.3968046759218,6073.7752065289615,448840.6323068368,4.553188764213214,1688.8013098383856,3731.224351825346,12.703675431047174,433.07252592686825,3073.821758342574,312.12486612029227,4.129000059782923,0.8030649352787469,6562.914567803948,2.20000116112793,40.45933059163429,1651.2206995979775,112.66942939364296,1.0614348886835605,0.207756695189513,4860.980629546098,1.7277448182051969,41.36681095213521,1037.042898286881,119118400.34665772,0.6366441876889486,258957.2387932021,4340.746800353963,0.5489181752387687,,4379.331023254739,355.9536834786683,2.5670847255700706,0.8339406221498782,4101.175351860035,4.7419852659043205,145.57002399350137,6299.338780271867,918.4684060331676,3.8010374918349616,2.3850790001052156,3970.809994676378,9.99923566878981,319.8627926142355,0.0,0.0,,,3888.624835767233,9.348930159207084,305.1823721829114,2256.904383637103,172.35919208802127,1.3542233304575744,0.4819914520423782,3841.875041634248,1.0540497977623704,26.158055070967176,0.0,0.0,,,4362.911043754551,5.936236767439386,171.9996000603492,4173.017814848437,412.3435262170585,2.552541036571923,1.155374366536672,3868.847284347911,6.238855980597547,204.00757138092573,697.5641694654925,44451890.58600315,0.8581944089485999,104381.95653307224,6584.997735422284,0.5757716804775765,,0.0,0.0,,,6552.57189181697,5.8543161971774955,113.00566494936938,580.7906096991727,35658345.28870727,0.9532353416280228,109496.51722299895,6714.640689204693,0.5503272323116475,,265.7525644105052,178.06174140047537,0.4465021519189371,0.5584247670388376,6730.179820048302,1.8762504363901649,32.92599745945063,0.0,0.0,,,3426.0,1.0,26.53754284399528,0.0,0.0,,,3761.150305396615,7.322779264939912,246.80712660018676,2905.211286126355,672.1405185933344,1.904634312693744,1.3444396644686265,4692.242288241263,9.99923566878981,271.0131455203778,589.5292972580322,366.7856040781872,0.6083999014205549,0.8230326640196067,5875.193011596584,5.543884599652243,119.16085380545216,
34d19m21pt9s-52d45m27pt982s,34.32274999999999,-52.75777277777778,0.2900142783944386,39.75504501315917,1,0,0,,,8.01808930489756,0.000164442635207,10.316974286109208,0.7193417565886697,95.0617611061936,18.259060211344913,0.3432,macs0217m52,5892.765813584705,160.5329063116438,13.115461427853974,0.9759275581669584,5006.822742791055,3.256737685629521,80.87438327110426,1840.373117454031,173.67744535575716,3.824383284341512,1.0014710162120797,4958.618305920929,3.1799261635137666,79.63571034740764,11226.636317859378,816.2833389502407,15.676627581235676,5.7419062669511955,3725.998595146267,3.2400987521855944,108.09248112330744,16316.241301053047,1260.0579382044486,22.830090707478178,8.863508817174043,3728.9167268692167,3.2400987521855944,108.01160352065192,7365.489973072453,346.0156326693058,27.49275624900977,2.474102899909538,6562.202484467589,4.5374519734494685,86.96716498836973,3419.221137097032,187.43852995952292,8.386330404436794,1.3185695717831007,4861.385066557856,2.552109842687803,64.27230103888759,662.711463808409,135.11774763386478,1.2759783124296868,0.9208767054708638,4341.625196193485,1.4714675289871009,37.96319153418199,1571.1519187495005,224.5244018208723,2.73785950525157,1.5633802291224157,4101.603496652293,3.1466152962026763,95.21779720991049,382.0579829540469,475.8221399983818,0.5489564959990051,2.9445761262816057,3969.49483736078,0.4999617834394905,,263.78972656997894,182.72422923819104,0.3728781147728987,1.1686054643514618,3888.531274808126,0.4999617834394905,,0.0,0.0,,,3834.882499966433,9.99923566878981,331.09476865566154,0.0,0.0,,,4362.999731174989,6.397922620047413,185.5584630675356,0.0,0.0,,,3867.3259110355593,3.3006599905810634,106.1450930836179,733.9740773370431,400.059918368066,1.9222662951214633,2.0004288982418217,6583.081625429409,1.2918249043824768,20.995761692798503,49.91636677174915,12781827271.62326,0.1311945295689104,64491188.33203176,6548.821361549276,0.4999617834394905,,2373.195748934748,258.0760829622471,9.875229897000438,2.0085851516922166,6716.6302414914535,4.789066398398144,89.80182505113142,1196.8945683852462,244.64781133496325,4.725722664388471,1.802830180634591,6730.901890672093,3.187583318135134,58.81981783948309,0.0,0.0,,,3426.0,1.0,26.53754284399528,0.0,0.0,,,3759.913119195578,3.421756505911805,113.40728015548642,1931.5560557598649,550.2394721526806,3.806787634718965,3.316002720051026,4686.449537906539,9.99923566878981,271.0131455203778,325.9700648092247,109.95928435191264,1.1907309429255806,0.8733307788859026,5875.302348451203,1.8381405423423445,36.82689117996334,
34d19m22pt71s-52d46m02pt865s,34.32297499999999,-52.7674625,0.3349141279142826,47.179511707927695,0,1,0,,,8.128910034748912,5.7565678783814226e-05,9.023894775019038,0.2434889768940148,69.435944178589,14.472547087555032,0.3432,macs0217m52,19272.839255848423,102.05189607542232,105.48884931485476,1.5256977053680485,5006.840998781659,2.3480370514077697,56.98924092189675,6799.332684247034,111.1449562296748,40.869683187346304,1.853629925405322,4958.904183999842,2.3111310529074,56.54666751734681,9089.324486048588,289.91315464090974,23.861265059643657,3.833520931178488,3726.1440064780136,1.9190814942915944,61.05307000293809,15780.246171422594,429.0860983620943,41.50308414048709,5.673804423901386,3728.798928623768,1.9190814942915944,61.00738850978256,12796.431705228282,255.50030952084623,116.50945875350764,4.455872226131193,6562.728114618479,2.790545662109637,52.402294109373614,5645.205741825504,140.105282255626,43.16004126863857,3.072298437807703,4861.336150826273,2.202061348309565,54.677041276144394,3286.4486355764407,133.26266789636597,16.028389425649348,2.3018946223880974,4340.428922678818,2.0581809764634604,56.76980750057008,1086.2393796215792,117.81230229077902,3.869490912778367,1.6766326304316237,4101.980871877618,1.2356233433847257,31.603565572291373,998.100611527216,144.09892637539645,5.238471991042481,3.2550755192429586,3970.659568329343,1.21998657497919,32.04120807709178,0.0,0.0,,,3889.1342921522782,4.336380693756959,140.09166029775128,0.0,92.2446178993797,,,3835.4,1.0,23.704860453545347,708.8282401902673,15689617319.551954,2.9742956582288245,230704461.0069418,4363.229895036816,0.4999617834394905,,0.0,94.9919969323325,,,3868.75,1.0,23.500516131444996,0.0,0.0,,,6582.063783115313,9.99923566878981,192.88987927331783,0.0,0.0,,,6547.981228966065,9.99923566878981,193.93267853817915,1199.688422623233,170.56184796070605,9.341795906736593,2.4842479821238808,6716.287999775661,2.2104939786728126,39.743553147781384,851.3032127402911,205.150848902241,6.652071659960183,2.992027528828043,6730.616977530867,2.266799984374809,40.77987739021991,0.0,0.0,,,3426.0,1.0,26.53754284399528,3094.4485495706044,225.63006524977652,11.04431827775622,3.967412572909333,3758.185766549951,2.9443066679981915,96.83306793678284,1956.7871134700783,427.3210451938906,10.379559633929386,6.918453297987211,4691.207687944317,9.99923566878981,271.0131455203778,0.0,49.39013583702934,,,5875.62,1.0,15.473706908126772,
34d17m58pt905s-52d45m18pt335s,34.29969583333333,-52.755093055555555,0.3388954701691815,48.09804621811701,0,1,0,7.761233893626923,0.0058560714245689,8.092532028607412,0.0007398762690764,7.748488948931816,0.4264987502138628,90.04281272956858,16.366392331158327,0.3432,macs0217m52,8260.002766335405,111.46053557334112,39.746565582256984,1.4649653971458687,5006.839098673458,2.5475233810221107,62.283122967859235,2594.891008958162,123.97957167209164,13.105762105799736,1.7373474039515928,4958.938336620312,2.1678488820577773,52.67390999302955,6232.7487590334395,456.54198113984586,46.7564703310434,17.248614835747738,3726.3307472965766,2.5023399073298034,82.08592469554908,9080.3074583356,640.8385492229046,68.24818747434577,24.211524381279993,3729.064391795984,2.5023399073298034,82.0245058740719,7190.1162526971275,181.66141087563025,69.42523814289028,3.359778323299753,6562.764528166953,3.057834425184838,57.74299179850397,3377.1681375721705,154.20780241205065,14.745564000653234,1.93122402392564,4861.264969416856,2.756392927746249,69.81881612675754,948.6847995268868,129.37985164677917,5.991719441021142,2.8943337169905954,4340.239805514119,1.5867131472162943,41.76616875031611,302.8670859238941,153.67347205158842,1.024630998405408,2.0775884296673817,4101.446343392491,0.4999617834394905,,3481.6553923181823,929.2159653693204,12.862991724023278,14.842925634314748,3962.9883537525225,9.99923566878981,319.8627926142355,0.0,0.0,,,3888.403946617272,5.688240229410908,184.79177431084537,0.0,83.0262917869781,,,3835.4,1.0,23.704860453545347,1186.9073263191924,225.13826392181105,5.232201652439341,3.4772416902021233,4363.641055253695,3.772968197399881,108.17671796316176,2891.8703026236876,274.5941060131095,13.533341722491198,5.887960788882606,3868.460462687447,3.5715253007329304,115.24978600484768,0.0,0.0,,,6583.9077601025365,9.99923566878981,192.88987927331783,0.0,0.0,,,6549.784132164734,9.99923566878981,193.93267853817915,1205.750097975194,199.15981517324872,9.693525262484137,2.9944551622310622,6717.200657728385,2.330551062616133,42.135858253296405,524.7139898774109,221.8302310062855,3.9100835908105207,3.08511125452988,6731.124819972992,2.136554948214578,38.18138904422399,0.0,0.0,,,3426.0,1.0,26.53754284399528,0.0,0.0,,,3759.8042230343463,3.920342907906544,130.60605080095772,0.0,0.0,,,4685.774125570324,5.236660425843226,141.00340283568852,0.0,89.79802744230159,,,5875.62,1.0,15.473706908126772,
34d19m12pt345s-52d46m02pt383s,34.320095833333326,-52.76732861111111,0.3393412113929959,38.596280053896706,0,1,0,8.243161188366276,0.0,8.074915774008907,9.994003215239545e-05,9.44941460554242,0.374744668434789,74.31770684802666,18.30195293672756,0.3432,macs0217m52,8046.714780394952,79.46928004617553,57.21795521946086,1.543474579952336,5006.841583276399,2.1077479936947268,50.552284564045976,3136.3785616895548,96.81272821064444,35.885546431819336,3.0734990025412183,4958.826088981929,1.949649500752514,46.71593838554841,7633.403187173396,404.14280015144794,196.08259458113923,52.29567642913116,3726.005462045638,2.4077515411969808,78.71402490384959,12624.049282676491,605.2502421809685,324.93144328002256,78.31877943115151,3728.8829382807903,2.4077515411969808,78.65512902539965,6591.052068514271,208.00786126545788,82.51041136662957,4.987706119236732,6562.755532175211,2.371022533563351,43.94469597365425,3327.247996240253,106.31938596406836,43.948895446939865,4.027874766760648,4861.376446893344,2.3199607602230015,57.92429720723703,1673.016985261022,225.17143300717055,7.644820347685869,3.642534578379994,4341.363999064864,4.894091211837288,142.0727961141809,1276.0502888519788,170.7803943740304,6.960898649435616,3.721976746909082,4101.899804457194,1.87727235993056,54.06479264935975,0.0,79.03917097476753,,,3970.08,1.0,22.900702702093614,168.5757854085076,228.2508320024513,0.930203546230284,5.696947401727081,3888.957659642559,0.4999617834394905,,0.0,0.0,,,3833.6496422388473,9.99923566878981,331.09476865566154,692.6160632200198,2045728.926643912,2.9088180099800507,30075.234491684263,4365.538343369485,0.590071341219361,,866.8798645117145,6203275.292236718,3.240785199988193,106525.62616123934,3864.488426783371,0.6041694537537695,,147.4095176790077,742.6952018340992,0.7138575026199986,6.86661392528114,6583.361734501821,0.4999617834394905,,0.0,0.0,,,6551.964083346304,7.141998275763909,138.1893790367744,1070.0725418470447,163.0356216140434,17.91460722775208,5.105209304208464,6716.505342016057,2.1613965252819085,38.76117176003691,863.9286018958236,153.08138303098102,14.923585207860269,4.935381591477613,6730.872701568711,1.8424236019551932,32.23536125218152,0.0,0.0,,,3426.0,1.0,26.53754284399528,0.0,77.43537856260845,,,3760.0,1.0,24.18021855944889,0.0,0.0,,,4684.531558993629,7.955544175445001,215.31413276595185,499.38018548082493,119.81743508354678,7.45317223213397,3.8884773507468022,5874.88301975254,1.5588385321416227,30.179193713087212,
34d19m20pt58s-52d45m42pt851s,34.32238333333333,-52.76190305555556,0.4697360237741437,37.82286135393621,0,0,0,8.92025360458478,0.0236142051875006,8.034969729931257,5.376716376656269e-05,6.829349971055728,0.117579661590252,64.86716015640172,17.622965265284595,0.3432,macs0217m52,11912.25842007165,111.87977046537532,14.867152318056116,0.381394035719909,5006.826128011305,2.9552960224969063,73.00663300177783,3187.0159594887355,119.2851131139209,3.7519722396381794,0.3896067978660278,4959.136261337005,2.28985539739343,55.97326718826388,17097.68495607999,415.9303798270097,17.63745477255436,2.1613405749450756,3726.0256794463544,2.53962319727398,83.41195885121998,26797.421249462674,615.2058266520244,27.697794300332273,3.1968554824936612,3728.8416551134487,2.53962319727398,83.3495478565367,0.0,0.0,,,6562.8,1.0,13.853480493619768,8638.359556199943,98.59808660759876,10.681880215644142,0.3496921940860675,4861.37435479605,2.6007636340739206,65.59627016148933,3675.752487951211,126.61511419261932,3.5904450405795947,0.4379893169450197,4340.61524271111,2.26467645699466,63.172512046387595,1778.4224497806747,124.93675248847956,1.5228571180685837,0.4274784426778215,4101.638683886095,1.4031037068503065,37.74295923295632,159.41812890755094,0.0,0.1445018602375116,0.0,3970.201023417735,0.4999617834394905,,534.6589604751509,8063100.266334734,0.3934564501242291,26850.40308440559,3888.287501939119,0.5017869916266192,,0.0,0.0,,,3833.904584162025,0.4999617834394905,,299.0633882802195,142.74299458795215,0.26060177340551,0.4360348152186029,4362.475015638566,0.9967500814179155,20.704332124648772,5448.898421227162,492.90896551303,4.258867657635002,1.766328707808579,3867.472435180674,9.99923566878981,328.2406140748108,0.0,0.0,,,6583.45,1.0,13.810026928666252,0.0,0.0,,,6548.05,1.0,13.88468655302385,0.0,0.0,,,6716.44,1.0,13.536579167464884,0.0,0.0,,,6730.82,1.0,13.507659064352907,0.0,0.0,,,3426.024171790389,5.3211356759674695,196.01494576723792,137.1971541826468,289.1094898470451,0.1183251404562972,1.2240859305663263,3763.37599960552,0.4999617834394905,,0.0,0.0,,,4682.733739108586,3.297990711821786,87.56489685416848,1004.617318874073,143.46252960491,1.7965175013081935,0.5577454940722202,5875.780004067908,3.265280780151826,69.10567360500778,
