cluster,cluster_redshift,ra,dec,id,type,description
A141,0.216,1:05:33.870,-24:38:38.666,4863,Lya,single
A141,0.216,1:05:33.228,-24:38:20.100,6664,Lya,single
A141,0.216,1:05:31.424,-24:38:47.266,6929,OII,very extended lensed system
A141,0.216,1:05:31.571,-24:38:27.414,6935,OII,second image of system above - extreme OIII just outside wavelength range *** - include for Tom?
A141,0.216,1:05:34.142,-24:39:00.287,7159,OII,
A141,0.216,1:05:33.198,-24:38:18.251,7545,OII,very elongated with velocity gradient
A141,0.216,1:05:32.739,-24:39:00.448,8388,Lya,tangential arc to south of BCG
A141,0.216,1:05:34.501,-24:38:17.206,8640,OII,
A141,0.216,1:05:32.674,-24:38:17.287,8647,OII,
A141,0.216,1:05:30.752,-24:38:36.656,8941,OII,
A141,0.216,1:05:30.716,-24:38:37.460,8951,OII,very close to one above!
A209,0.206,1:31:53.618,-13:37:11.384,6261,Lya,- galaxy-galaxy lensed pair
A209,0.206,1:31:53.607,-13:37:12.188,9020,OII,- ditto (galaxy-galaxy lensed pair)
A209,0.206,1:31:53.320,-13:36:29.267,7670,OII,extended
A209,0.206,1:31:51.435,-13:37:06.642,7866,OII,nothing in HST images
A209,0.206,1:31:52.460,-13:36:56.193,8120,OII,lensed with
A209,0.206,1:31:52.262,-13:36:59.328,8120,OII,lensed with  -- on other side of cluster member
MACS0138-21,0.35,01:38:03.208,-21:55:53.278,7545,OII,lensed very narrow doublet - is it OII?
MACS0140-05,0.451,01:39:59.340,-05:54:54.927,5990.3,OII,very extended
MACS0140-05,0.451,01:40:01.533,-05:55:10.440,6985.3,OII,and broad MgII
MACS0140-34,0.395,01:40:04.954,-34:11:05.414,4923.9,Lya,
MACS0140-34,0.395,01:40:05.912,-34:11:05.333,4921.4,Lya,
MACS0140-34,0.395,01:40:07.532,-34:10:56.974,6131.4,OII,
MACS0140-34,0.395,01:40:06.431,-34:10:26.914,7968.9,Lya,lensed
MACS0140-34,0.395,01:40:06.651,-34:10:31.817,7968.9,Lya,lensed
MACS0140-34,0.395,01:40:03.581,-34:10:59.144,8228.9,OII,lensed
MACS0140-34,0.395,01:40:03.911,-34:11:05.413,8228.9,OII,lensed
MACS0140-34,0.395,01:40:06.988,-34:10:45.963,9252.6,OII,
