cluster,z,key,directory
A3186,0.127,a3186,cubes
Abell3322,0.201,a3322,cubes
A3364,0.1464,a3364,cubes
A3378,0.1356,a3378,cubes
A3399,0.2026,a3399,cubes
A3404,0.1588,a3404,cubes
A383,0.19,a383,cubes
A483,0.28,a483,cubes
Abell520,0.2011,a520,cubes
SMACSJ0234.7-5831,0.415,macs0238m53,cubes
MACSJ0242.5-2132,0.314,macs0242m21,cubes
MACSJ0257.1-2325,0.5049,macs0257m23,cubes
MACSJ0308.9+2645,0.356,macs0308p26,cubes
MACS0326.8-0043,0.25,macs0326m00,cubes
MACSJ0358.8-2955,0.425,macs0358m29,cubes
MACS0404.2-2703,0,macs0404m27,cubes
MACSJ0404.6+1109,0.3548,macs0404p11,cubes
MACSJ0406.0-4916,0,macs0406m49,cubes
MACSJ0439.2-4600,0,macs0439m46,cubes
MACSJ0449.3-2848,0,macs0449m28,cubes
MACSJ0455.2+0657,0.425,macs0455p06,cubes
MACSJ0510.4+0220,0,macs0510p02,cubes
MACSJ0527.4-2754,0,macs0521m27,cubes
MACSJ0529.7-3145,0,macs0529m31,cubes
MACS0547.0-3904,0.3142,macs0547m39,cubes
SMACSJ0549.3-6205,0.376,macs0549m62,cubes
MACSJ0553.4-3342A,0,macs0553m33a,cubes
MACSJ0553.4-3342B,0,macs0553m33b,cubes
MACSJ0600.1-2008,0.46,macs0600m20,cubes
SMACSJ0600.2-4353,0.36,macs0600m43,cubes
MACSJ0611.8-3036,0,macs0611m30,cubes
SMACSJ0723.6-7327,0,macs0723m73,cubes
RBS653,0.2839,rbs653,cubes
RXCJ0303.7-7752,0.276,rxj0303m77,cubes
RXCJ0312.9+0822,0,rxj0312p08,cubes
RXCJ0331.1-2100,0.19276,rxj0331m21,cubes
RXCJ0409.2+1108,0,rxj0409p11,cubes
RXCJ0439.0+0520,0.208,rxj0439p05,cubes
RXCJ0439.0+0716,0,rxj0439p07,cubes
RXCJ0510.6-0801,0,rxj0510m08,cubes
RXCJ0532.0-3701,0,rxj0532m37,cubes
Abells520,0.295,s520,cubes
Zw2089,0,z2089,cubes
RXCJ0437.1+0043,0.2842,rxj0437p00,cubes
RXCJ0218.3-3141,0.275,rxj0218m31,cubes_new
A209,0.2048,a209,cubes_new
RXCJ0232.2-4420,0.2836,rxj0232m44,cubes_new
MACSJ0140.0-3410,0.4,macs0140m34,cubes_new
MACSJ0111.5+0855,0.4854,macs0111p08,cubes_new
MACSJ0051.6+2720,0,macs0051p27,cubes_new
MACS0140.0-0555,0.454,macs0140m05,cubes_new
MACSJ0040.8-4407,0,macs0040m44,cubes_new
MACS0011.7-1523,0.378,macs0011m15,cubes_new
Abell141,0.23,a141,cubes_new
MACSJ0217.2-5244,0,macs0217m52,cubes_new
Abell2697,0.234,a2697,cubes_new
MACS0138.0-2155,0.338,macs0138m21,cubes_new
MACSJ0018.9-4051,0,macs0018m40,cubes_new
A2813,0.2924,a2813,cubes_new
MACSJ0159.0-3413,0,macs0159m34,cubes_new
MACSJ0025.4-1222,0.5843,macs0025m12,cubes_new
RXCJ0019.6+0336,0,rxj0019p03,cubes_new
A3017,0.2195,a3017,cubes_new
MACS0027.2+2607,0,macs0027p26a,cubes_new
MACS0032.1+1808,0.3892,macs0032p18,cubes_new
MACSJ0027.8+2616,0,macs0027p26b,cubes_new
Abell S780,0.2357,s780,cubes_new
Abell2811,0.1075,a2811,cubes_new
MACSJ0028.2-7537,0,macs0028m75,cubes_new
MACSJ0152.5-2853,0,macs0152m28,cubes_new
MACS0035.4-2015,0.352,macs0033m07,cubes_new
AbellS26,0.272,s26,cubes_new
MACS0034.9+0234,0.38429,macs0034p02b,cubes_new
MACSJ0018.5+1626,0.549,macs0018p16,cubes_new
MACS0034.4+0225,0.382,macs0034p02a,cubes_new
A3230,0.1445,a3230,cubes_new
MACS0245.5-5302,0,macs0245m53,cubes_new
