I,ID,X_PEAK_SN,Y_PEAK_SN,Z_PEAK_SN,DETSN_MAX,Identification,Short,Comment,Redshift,Quality,Confidence,Association,key,cluster,zcluster,dir
167,1,95.0,19.0,1209.0,9.169170379638672,Lya,Lya,-,4.15162,c,0,-,a209,A209,0.2048,cubes
5231,3,300.0,197.0,3253.0,8.984107971191406,OIII 2,O3_2,-,0.76085,c,0,-,macs0033m07,MACS0035.4-2015,0.352,cubes
1077,4,19.0,176.0,2961.0,37.767879486083984,Lya,Lya,-,5.954,a,3,-,a141,Abell141,0.23,cubes
1708,6,160.0,15.0,1205.0,12.623516082763672,OIII 2,O3_2,-,0.24946,a,3,-,macs0159m34,MACSJ0159.0-3413,nan,cubes
1093,7,132.0,194.0,2635.0,106.42247009277344,Ha,Ha,-,0.22569,a,3,-,a141,Abell141,0.23,cubes
3213,9,236.0,31.0,426.0,8.06135368347168,Lya,Lya,-,3.34665,c,0,-,macs0027p26a,MACS0027.2+2607,nan,cubes
786,13,83.0,25.0,3222.0,9.553396224975586,Lya,Lya,-,6.22203,c,0,-,macs0449m28,MACSJ0449.3-2848,nan,cubes_new
1113,15,169.0,56.0,2584.0,35.25693130493164,Ha,Ha,-,0.21597,a,3,-,a141,Abell141,0.23,cubes
4858,17,267.0,52.0,2190.0,8.226968765258789,OIII 2,O3_2,-,0.49537,c,0,-,macs0257m23,MACSJ0257.1-2325,0.5049,cubes_new
1120,18,63.0,173.0,665.0,11.622861862182617,OII,O2,-,0.49684,c,0,-,a141,Abell141,0.23,cubes
5653,19,279.0,60.0,2410.0,46.564884185791016,Lya,Lya,-,5.3868,c,0,-,macs0051p27,MACSJ0051.6+2720,nan,cubes
8296,20,175.0,157.0,3128.0,87.77098083496094,Ha,Ha,-,0.31952,c,0,-,macs0547m39,MACS0547.0-3904,0.3142,cubes_new
4750,21,292.0,62.0,2372.0,40.655765533447266,Lya,Lya,-,5.34781,c,0,-,a3378,A3378,0.1356,cubes_new
67,23,186.0,79.0,660.0,8.222667694091797,Lya,Lya,-,3.58755,c,0,-,s26,AbellS26,0.272,cubes
5364,24,36.0,63.0,2405.0,15.110590934753418,Lya,Lya,-,5.38201,c,0,-,macs0723m73,SMACSJ0723.6-7327,nan,cubes_new
69,25,98.0,123.0,660.0,13.9144868850708,Lya,Lya,-,3.58755,c,0,-,s26,AbellS26,0.272,cubes
7703,26,114.0,16.0,3153.0,36.196388244628906,Ha,Ha,-,0.32427,a,3,-,macs0553m33b,MACSJ0553.4-3342B,nan,cubes_new
8794,27,161.0,179.0,3127.0,14.735198020935059,Ha,Ha,-,0.31933,a,3,-,macs0547m39,MACS0547.0-3904,0.3142,cubes_new
8909,29,110.0,101.0,400.0,72.85591125488281,OIII 2,O3_2,-,0.04852,c,0,-,macs0547m39,MACS0547.0-3904,0.3142,cubes_new
11356,30,171.0,153.0,2562.0,63.86027908325195,Ha,Ha,-,0.2117,c,0,-,rxj0439p05,RXCJ0439.0+0520,0.208,cubes_new
934,31,142.0,78.0,3271.0,26.490129470825195,Ha,Ha,-,0.34676,a,3,-,macs0600m20,MACSJ0600.1-2008,0.46,cubes_new
8948,33,105.0,152.0,1832.0,26.509193420410156,OIII 2,O3_2,-,0.40603,a,3,-,macs0547m39,MACS0547.0-3904,0.3142,cubes_new
789,34,155.0,139.0,2346.0,61.01091003417969,OIII 2,O3_2,-,0.53439,a,3,-,a3322,Abell3322,0.201,cubes_new
248,35,275.0,170.0,2242.0,20.509414672851562,Ha,Ha,-,0.15084,a,3,-,a3364,A3364,0.1464,cubes_new
7483,36,92.0,172.0,1582.0,24.77763557434082,OIII 2,O3_2,-,0.34361,a,3,-,rxj0532m37,RXCJ0532.0-3701,nan,cubes_new
797,37,275.0,142.0,783.0,11.182888984680176,OII,O2,-,0.53634,a,3,-,a3322,Abell3322,0.201,cubes_new
7546,39,286.0,117.0,2885.0,36.20506286621094,Ha,Ha,-,0.27323,a,3,-,rxj0532m37,RXCJ0532.0-3701,nan,cubes_new
4826,40,217.0,115.0,3213.0,27.146833419799805,Lya,Lya,-,6.21268,c,0,-,a520,Abell520,0.2011,cubes_new
1279,41,105.0,93.0,2505.0,39.7204475402832,Ha,Ha,-,0.20093,a,3,-,a141,Abell141,0.23,cubes
1286,42,260.0,272.0,2516.0,28.950977325439453,Ha,Ha,-,0.20302,a,3,-,a141,Abell141,0.23,cubes
1298,43,30.0,213.0,2514.0,51.39458084106445,OIII 2,O3_2,-,0.57638,a,3,-,a141,Abell141,0.23,cubes
2774,44,30.0,128.0,2197.0,12.541725158691406,Lya,Lya,-,5.16818,c,0,-,macs0217m52,MACSJ0217.2-5244,nan,cubes
1303,45,116.0,64.0,2583.0,27.693098068237305,Ha,Ha,-,0.21578,a,3,-,a141,Abell141,0.23,cubes
10704,46,110.0,186.0,2576.0,19.44199562072754,Lya,Lya,-,5.55793,c,0,-,macs0140m34,MACSJ0140.0-3410,0.4,cubes
10705,47,122.0,209.0,2576.0,18.10249137878418,Lya,Lya,-,5.55793,c,0,-,macs0140m34,MACSJ0140.0-3410,0.4,cubes
494,48,53.0,101.0,996.0,9.992199897766113,MgII 1,Mg2_1,-,1.1445,c,0,-,rxj0218m31,RXCJ0218.3-3141,0.275,cubes
1309,49,160.0,68.0,1070.0,12.130413055419922,OIII 2,O3_2,-,0.21588,a,3,-,a141,Abell141,0.23,cubes
1193,50,101.0,127.0,1973.0,13.2218656539917,Lya,Lya,-,4.93784,a,3,-,a2811,Abell2811,0.1075,cubes
1318,51,168.0,47.0,2584.0,10.089165687561035,Ha,Ha,-,0.21597,a,3,-,a141,Abell141,0.23,cubes
1322,52,186.0,64.0,2585.0,8.53433895111084,Ha,Ha,-,0.21616,a,3,-,a141,Abell141,0.23,cubes
1323,53,169.0,64.0,1071.0,9.565692901611328,OIII 2,O3_2,-,0.21613,c,0,-,a141,Abell141,0.23,cubes
2544,54,186.0,146.0,2758.0,15.706385612487793,MgII 1,Mg2_1,-,1.93222,c,0,-,a3017,A3017,0.2195,cubes
9010,55,173.0,128.0,3127.0,9.830439567565918,Ha,Ha,-,0.31933,a,3,-,macs0547m39,MACS0547.0-3904,0.3142,cubes_new
6684,56,81.0,133.0,1241.0,15.07957649230957,Lya,Lya,-,4.18447,c,0,-,macs0051p27,MACSJ0051.6+2720,nan,cubes
6047,57,286.0,141.0,3460.0,10.324170112609863,OIII 2,O3_2,-,0.81253,a,3,-,macs0033m07,MACS0035.4-2015,0.352,cubes
11562,58,55.0,57.0,2120.0,12.010170936584473,OIII 2,O3_2,-,0.4779,a,3,-,rxj0439p05,RXCJ0439.0+0520,0.208,cubes_new
7710,59,65.0,178.0,2422.0,71.38496398925781,OIII 2,O3_2,-,0.55332,a,3,-,rxj0532m37,RXCJ0532.0-3701,nan,cubes_new
7717,60,123.0,276.0,2423.0,25.070926666259766,OIII 2,O3_2,-,0.55357,a,3,-,rxj0532m37,RXCJ0532.0-3701,nan,cubes_new
9022,61,244.0,192.0,3155.0,20.47311019897461,Ha,Ha,??,0.32466,a,3,-,macs0547m39,MACS0547.0-3904,0.3142,cubes_new
5562,63,91.0,157.0,3260.0,15.06991195678711,Lya,Lya,-,6.26108,c,0,-,macs0152m28,MACSJ0152.5-2853,nan,cubes
1219,65,196.0,236.0,2414.0,12.497260093688965,OII,O2,-,1.08314,c,0,-,a2811,Abell2811,0.1075,cubes
5463,66,245.0,40.0,2882.0,115.82147979736328,Lya,Lya,-,5.87265,c,0,-,macs0406m49,MACSJ0406.0-4916,nan,cubes_new
223,67,170.0,279.0,2782.0,21.379924774169922,OIII 2,O3_2,-,0.64325,c,0,-,a2813,A2813,0.2924,cubes
15869,68,281.0,91.0,2889.0,16.56804847717285,Ha,Ha,-,0.27402,c,0,-,macs0028m75,MACSJ0028.2-7537,nan,cubes
303,69,211.0,15.0,1952.0,8.708110809326172,OII,O2,-,0.92827,c,0,-,a3364,A3364,0.1464,cubes_new
3694,70,134.0,20.0,2896.0,19.878986358642578,Ha,Ha,-,0.27536,a,3,-,a3186,A3186,0.127,cubes_new
863,71,198.0,275.0,3448.0,17.253894805908203,OIII 2,O3_2,-,0.80951,a,3,-,a3322,Abell3322,0.201,cubes_new
867,72,204.0,285.0,3461.0,13.540361404418945,OIII 2,O3_2,-,0.81276,a,3,-,a3322,Abell3322,0.201,cubes_new
8151,74,201.0,73.0,3131.0,38.60451889038086,OIII 2,O3_2,-,0.73031,a,3,-,macs0553m33b,MACSJ0553.4-3342B,nan,cubes_new
8152,75,188.0,66.0,1363.0,15.86905574798584,OII,O2,-,0.73069,a,3,-,macs0553m33b,MACSJ0553.4-3342B,nan,cubes_new
8162,76,43.0,194.0,3143.0,20.64813804626465,Ha,Ha,-,0.32237,a,3,-,macs0553m33b,MACSJ0553.4-3342B,nan,cubes_new
8167,78,78.0,192.0,1872.0,14.247612953186035,OII,O2,-,0.90131,a,3,-,macs0553m33b,MACSJ0553.4-3342B,nan,cubes_new
8169,79,80.0,196.0,1868.0,9.491679191589355,OII,O2,-,0.89997,c,0,-,macs0553m33b,MACSJ0553.4-3342B,nan,cubes_new
11597,80,184.0,167.0,2541.0,8.265241622924805,Ha,Ha,-,0.2077,c,0,-,rxj0439p05,RXCJ0439.0+0520,0.208,cubes_new
11598,81,179.0,131.0,2542.0,8.59477424621582,Ha,Ha,-,0.20789,c,0,-,rxj0439p05,RXCJ0439.0+0520,0.208,cubes_new
332,82,258.0,78.0,1823.0,12.78877067565918,Lya,Lya,-,4.78336,c,0,-,a2697,Abell2697,0.234,cubes
11601,83,179.0,153.0,2548.0,8.152974128723145,Ha,Ha,-,0.20903,c,0,-,rxj0439p05,RXCJ0439.0+0520,0.208,cubes_new
5367,84,106.0,180.0,1786.0,9.666330337524414,OII,O2,-,0.8726,c,0,-,macs0111p08,MACSJ0111.5+0855,0.4854,cubes
11603,85,185.0,135.0,2563.0,9.32117748260498,NII 2,N2_2,-,0.20808,c,0,-,rxj0439p05,RXCJ0439.0+0520,0.208,cubes_new
