intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,distance
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0003-2-4,18.82454293614978,-31.040788897335645,image,"Ricker, George",3,58381.546141770836,58408.879141261576,1425.599424,600.0,1000.0,,58507.6666666,N/A,,3,POLYGON 22.278127 -23.114227 28.285859 -33.79011 14.400627 -38.731614 10.254244 -27.780414 22.278127 -23.114227,,,PUBLIC,False,nan,60942206,0.0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0030-2-4,21.316275513239678,-29.928875993165978,image,"Ricker, George",3,59115.38607926,59142.7260047,475.199788,600.0,1000.0,,59173.0,N/A,,30,POLYGON 24.81211600 -22.02902800 30.63496600 -32.75918900 16.88033600 -37.59161500 12.86359200 -26.62078800 24.81211600 -22.02902800,,,PUBLIC,False,nan,28055405,0.0
science,TESS,SPOC,Photometer,TESS,TESS,OPTICAL,TESS FFI,,tess-s0097-2-4,25.331023199668948,-28.1652972116202,image,"Ricker, George",3,60933.15679054398,60987.78804431713,158.399925,600.0,1000.0,,60991.0,N/A,,97,POLYGON 28.913241 -20.315978 34.427012 -31.139351 20.855405 -35.774652 17.062073 -24.765519 28.913241 -20.315978,,,PUBLIC,False,nan,352588368,0.0
science,SWIFT,,UVOT,,U,OPTICAL,J014005.1-341033,,00090545001,25.044161358086,-34.1913998108335,cube,,2,55316.1476852,55316.1610995,1141.29284129859,301.4,394.2,,nan,,,,POLYGON 25.277215 -34.135598 24.989226 -33.989949 24.911367 -34.0928 24.82347 -34.222078 24.963708 -34.298665 25.107576 -34.370069 25.191852 -34.260393 25.277215 -34.135598 25.277215 -34.135598,http://archive.stsci.edu/cgi-bin/hla/fitscut.cgi?red=sw00090545001uuu[1]&size=ALL&output_size=1364,http://archive.stsci.edu/missions/swift_uvot/00090545/00090545001/sw00090545001uuu_sk.img,PUBLIC,,5885.0,1474115,0.0
science,HST,HAP-SVM,ACS/WFC,HAP,F606W,OPTICAL,MACSJ0140.0-3410,CLUSTER OF GALAXIES;HIGH REDSHIFT CLUSTER,hst_10491_14_acs_wfc_f606w_j9fc14,25.02316666667,-34.17769444444,image,"Ebeling, Harald",3,53662.19548664,53662.26680631,1200.0,470.0,720.0,,53662.41766202,10491,HAP,,POLYGON 25.071727448341743 -34.19876686635551 25.00675341715326 -34.21723230186698 25.005746020547342 -34.21567658744845 24.992655988607513 -34.188465438733324 24.979775177056116 -34.16243353253454 25.012423749597087 -34.15369138696876 25.04373998405344 -34.14577413300489 25.055259724121765 -34.16686913282945 25.071727448341743 -34.19876686635551,mast:HST/product/hst_10491_14_acs_wfc_f606w_j9fc14_drc.jpg,mast:HST/product/hst_10491_14_acs_wfc_f606w_j9fc14_drc.fits,PUBLIC,False,nan,26402376,0.0
science,HST,HAP-SVM,ACS/WFC,HAP,detection,,MACSJ0140.0-3410,CLUSTER OF GALAXIES;HIGH REDSHIFT CLUSTER,hst_10491_14_acs_wfc_total_j9fc14,25.02316666667,-34.17769444444,image,"Ebeling, Harald",3,53662.19548664,53662.26680631,1200.0,nan,nan,,53662.41766202,10491,HAP,,POLYGON 25.0716938483916 -34.198739101111016 25.006820607775815 -34.21720453444677 25.005813206976665 -34.21566270945919 24.979909473602262 -34.162405804770785 25.013917525495973 -34.15334431730772 25.043756774814348 -34.145815797206495 25.055410910995693 -34.167188540975864 25.0716938483916 -34.198739101111016,mast:HST/product/hst_10491_14_acs_wfc_total_j9fc14_drc.jpg,mast:HST/product/hst_10491_14_acs_wfc_total_j9fc14_drc.fits,PUBLIC,False,nan,26402396,0.0
science,HST,HAP-MVM,ACS/WFC,HAP,F606W,OPTICAL,MACSJ0140.0-3410,CLUSTER OF GALAXIES;HIGH REDSHIFT CLUSTER,hst_skycell-p0564x06y10_acs_wfc_f606w_all,25.02316666667,-34.17769444444,image,,3,53662.19548664,53662.26680631,1200.0,470.0,720.0,,53662.41766202,,,,POLYGON 25.071730762034882 -34.19876540727792 25.006736477132577 -34.21724478162996 25.005744859744183 -34.21567782333375 24.99275987427786 -34.18900824806691 24.992643717302805 -34.188442875693276 24.979799106057346 -34.16251462744678 24.97987743313126 -34.16236937477325 25.01403399895348 -34.15327329446399 25.043752646010986 -34.14578333223332 25.04564224251115 -34.14895101793341 25.054817141710444 -34.166036308682756 25.071730762034882 -34.19876540727792,mast:HST/product/hst_skycell-p0564x06y10_acs_wfc_f606w_all_drc.jpg,mast:HST/product/hst_skycell-p0564x06y10_acs_wfc_f606w_all_drc.fits,PUBLIC,False,nan,87513118,0.0
science,HST,CALACS,ACS/WFC,HST,F606W,OPTICAL,MACSJ0140.0-3410,CLUSTER OF GALAXIES;HIGH REDSHIFT CLUSTER,j9fc14010,25.02270005729,-34.17695246781,image,"Ebeling, Harald",3,53662.195486655095,53662.26679255787,1200.0,470.0,720.0,A Snapshot Survey of the most massive clusters of galaxies,53662.41766202,10491,SNAP,,POLYGON 25.071778109999823 -34.198671960000013 25.0585051500001 -34.172245090000047 25.058422282056249 -34.17226821434015 25.058038210000078 -34.171503250000043 25.057955358413171 -34.171526369706335 25.057571270000164 -34.170761349999971 25.057356010642906 -34.170821417512478 25.044908359999859 -34.14653462 25.044832187628032 -34.146554947744036 25.0444416500001 -34.145792719999932 25.044365733332 -34.145812979480723 25.043975259999858 -34.145050859999976 24.979455469999991 -34.162248299999931 24.992491259999934 -34.187722859999859 24.992567563791884 -34.187702542902258 24.992957860000178 -34.188465000000058 24.993033978435747 -34.18844473194 24.993170589703286 -34.18871160416699 24.992557180000077 -34.188882380000074 25.005812100000128 -34.215316450000067 25.0058949904522 -34.215293370496276 25.006278749999925 -34.216058419999925 25.00636154291556 -34.216035367503729 25.006745339999835 -34.216800480000046 25.071778109999823 -34.198671960000013 25.071778109999823 -34.198671960000013,mast:HST/product/j9fc14010_drz.jpg,mast:HST/product/j9fc14010_drz.fits,PUBLIC,False,nan,24828374,0.0
calibration,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,DARK,,j9ihboh2q,25.07720771809,-34.08954894966,image,"Sirianni, Marco",1,53662.16318434028,53662.1747721875,1000.0,499.40000000000003,505.00000000000006,ACS CCDs daily monitor,53662.39182863,10729,CAL/ACS,,POLYGON 25.071225 -34.197082 25.005431 -34.215423 24.992047 -34.18873 25.057823 -34.170397 25.071225 -34.197082,mast:HST/product/j9ihboh2q_raw.jpg,mast:HST/product/j9ihboh2q_raw.fits,PUBLIC,False,nan,24062520,22.983655725876417
calibration,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,BIAS,,j9ihbphdq,25.07814093561,-34.0910324878,image,"Sirianni, Marco",1,53662.29500922454,53662.29500922454,0.0,499.40000000000003,505.00000000000006,ACS CCDs daily monitor,53662.39638885,10729,CAL/ACS,,POLYGON 25.072159 -34.198566 25.006364 -34.216907 24.992979 -34.190214 25.058756 -34.171881 25.072159 -34.198566,mast:HST/product/j9ihbphdq_raw.jpg,mast:HST/product/j9ihbphdq_raw.fits,PUBLIC,False,nan,24062523,28.933246405893826
