object_id,ra,dec,flux_HST_F275W,flux_HST_F435W,flux_HST_F606W,flux_HST_F814W,flux_HST_F125W,flux_HST_F160W,flux_Spitzer_I1_3.6,flux_Spitzer_I2_4.5,flux_Spitzer_I4_8.0,flux_Spitzer_M1_24
38d05m01pt605s-44d20m27pt16s,38.08377916666666,-44.34087777777778,-999.0,2.8055381642998816,4.325321311911393,5.278514301528579,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m00pt81s-44d20m58pt424s,38.06689166666666,-44.349562222222225,-999.0,-0.07393317454768253,0.5841187726562638,0.4886698613969296,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
38d04m12pt825s-44d21m10pt642s,38.070229166666664,-44.35295611111111,-999.0,1.7193517931007467,2.956990093765354,3.5009491441283798,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d35m05pt955s-31d42m25pt197s,34.5849875,-31.706999166666662,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34d34m42pt045s-31d41m44pt286s,34.57834583333333,-31.695635,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
0d47m35pt895s-6d05m45pt616s,0.7933041666666666,-6.096004444444445,-999.0,-999.0,-0.8633398692744606,-1.4487304148933275,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2d55m43pt935s-15d22m53pt365s,2.9288708333333324,-15.38149027777778,-999.0,-999.0,4.103676550854622,5.647979372811599,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2d55m43pt275s-15d23m04pt376s,2.928687499999999,-15.384548888888888,-999.0,-999.0,1.4350630481402313,2.5473453513504345,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2d56m07pt62s-15d23m06pt546s,2.935449999999999,-15.385151666666664,-999.0,-999.0,0.5805010372478205,1.810391625032417,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d38m38pt61s16d26m31pt04s,4.644058333333333,16.441955555555555,-999.0,0.39379363895508707,,0.9943102673922601,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d45m39pt18s-40d51m33pt895s,4.760883333333332,-40.85941527777778,-999.0,-999.0,2.3946244679231565,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d46m35pt34s-20d26m04pt362s,4.776483333333333,-20.434545,-999.0,-999.0,0.32770519465166514,0.38431402573748275,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
4d54m58pt005s3d36m09pt248s,4.916112499999999,3.602568888888889,-999.0,-999.0,-0.30392613811097596,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
6d23m36pt795s-12d22m50pt684s,6.393554166666666,-12.380745555555556,-999.0,0.4039648399502408,-999.0,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
6d51m52pt995s26d07m16pt522s,6.864720833333332,26.121256111111112,-999.0,-999.0,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
6d56m36pt285s26d16m00pt993s,6.943412499999999,26.2669425,-999.0,-999.0,-0.11724569928938937,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
